observation,date,time_of_day,activity,blood,location_of_scratch,toy,where_petting,asleep,number_of_scratches,number_of_people
1,2024-4-20,afternoon,playing,no,arm,worm,N/A,no,2,1
2,2024-4-21,afternoon,playing,no,arm,worm,N/A,no,1,1
3,2024-4-22,evening,playing,no,leg,worm,N/A,no,3,3
4,2024-4-22,evening,playing,no,leg,worm,N/A,no,2,3
5,2024-4-23,evening,playing,no,leg,worm,N/A,no,1,3
6,2024-4-23,morning,petting,no,arm,N/A,belly,no,1,2
7,2024-4-24,evening,playing,no,arm,taco,N/A,no,1,2
8,2024-4-26,evening,petting,no,arm,N/A,back,yes,1,1
9,2024-4-26,morning,playing,no,arm,worm,N/A,no,2,2
10,2024-4-27,mornig,playing,no,arm,worm,N/A,no,2,2
11,2024-4-27,afternoon,unprovoked,no,arm,N/A,N/A,no,3,1
12,2024-4-27,afternoon,picking up,no,chest,N/A,N/A,no,1,4
13,2024-4-27,afternoon,playing,yes,leg,worm,N/A,no,4,2
14,2024-4-28,evening,playing,no,leg,worm,N/A,no,3,2
15,2024-4-30,evening,playing,no,arm,worm,N/A,no,3,2
16,2024-5-1,evening,playing,no,arm,worm,N/A,no,3,2
17,2024-5-2,morning,petting,no,arm,N/A,head/face,no,1,1
18,2024-5-3,morning,unprovoked,no,leg,N/A,N/A,no,1,1
19,2024-5-3,afternon,picking up,no,arm,N/A,N/A,yes,1,1
20,2024-5-4,afternoon,playing,no,leg,taco,N/A,no,2,2
21,2024-5-4,afternoon,playing,yes,arm,worm,N/A,no,2,2
22,2024-5-5,morning,petting,no,arm,N/A,face,yes,1,1
23,2024-5-6,evening,playing,no,leg,taco,N/A,no,1,1
24,2024-5-7,afternoon,picking up,no,arm,N/A,N/A,no,3,3
25,2024-5-9,afternon,playing,yes,arm,worm,N/A,no,3,3
26,2024-5-10,morning,petting,no,arm,N/A,belly,no,1,1
27,2024-5-10,morning,playing,no,leg,taco,N/A,no,2,1
28,2024-5-12,afternoon,playing,no,leg,worm,N/A,no,2,1
29,2024-5-13,evening,playing,no,leg,box,N/A,no,1,2
30,2024-5-14,afternoon,petting,no,arm,N/A,back,no,4,2
31,2024-5-15,morning,picking up,no,chest,N/A,N/A,no,2,3
32,2024-5-15,evening,petting,no,leg,N/A,belly,yes,1,3
33,2024-5-15,evening,petting,no,arm,N/A,back,yes,2,3
34,2024-5-17,morning,unprovoked,no,leg,N/A,N/A,no,2,1
35,2024-5-17,afternoon,playing,yes,leg,worm,N/A,no,2,1
36,2024-5-20,morning,petting,no,arm,N/A,head/face,yes,1,2
37,2024-5-21,evening,picking up,no,arm,N/A,N/A,no,3,2
38,2024-5-23,afternoon,playing,no,leg,taco,N/A,no,4,4
39,2024-5-24,evening,petting,no,arm,N/A,head/face,no,3,1
40,2024-5-26,morning,playing,no,arm,box,N/A,no,1,1
39,2024-5-26,afternoon,playing,no,arm,worm,N/A,no,5,4
40,2024-5-26,afternoon,playing,no,leg,worm,N/A,no,1,4
41,2024-5-28,morning,picking up,no,leg,N/A,N/A,yes,3,3
42,2024-5-31,evening,petting,no,leg,N/A,back,no,2,2
43,2024-5-31,evening,playing,yes,leg,worm,N/A,no,5,1
